total_orders,buy_orders,sell_orders,holdings_count,avg_trade_size,concentration,trades_last_7_days,avg_recent_trade_size,risk_profile
1,1,0,1,35000.0,1.0,0,0.0,Conservative
5,5,0,0,19928.994,0.0,5,19928.994,Balanced
4,3,1,0,4120.2,0.0,4,4120.2,Conservative
8,6,2,0,843.25,0.0,8,843.25,Balanced
7,4,3,5,481.2757142857143,0.36363636363636365,7,481.2757142857143,Conservative
7,5,2,5,469.1842857142857,0.2727272727272727,7,469.1842857142857,Conservative
4,1,3,6,203.9225,0.32142857142857145,4,203.9225,Conservative
6,4,2,6,1026.05,0.22727272727272727,6,1026.05,Conservative
6,3,3,5,597.7933333333333,0.3125,6,597.7933333333333,Conservative
4,3,1,7,927.79,0.2777777777777778,4,927.79,Conservative
5,1,4,6,192.564,0.21621621621621623,5,192.564,Conservative
8,3,5,7,898.2575,0.2127659574468085,8,898.2575,Conservative
6,0,6,6,865.1733333333333,0.2564102564102564,6,865.1733333333333,Conservative
4,4,0,5,336.745,0.2962962962962963,4,336.745,Conservative
4,0,4,5,178.2725,0.3333333333333333,4,178.2725,Conservative
4,4,0,6,662.9525,0.2727272727272727,4,662.9525,Conservative
8,4,4,7,489.5375,0.22727272727272727,8,489.5375,Conservative
6,5,1,7,1180.0566666666666,0.23076923076923078,6,1180.0566666666666,Conservative
4,3,1,7,378.7225,0.17391304347826086,4,378.7225,Conservative
6,3,3,6,987.94,0.3333333333333333,6,987.94,Conservative
8,5,3,5,227.1525,0.3333333333333333,8,227.1525,Conservative
6,1,5,7,448.3933333333333,0.2,6,448.3933333333333,Conservative
6,5,1,5,290.77666666666664,0.2702702702702703,6,290.77666666666664,Conservative
4,2,2,7,535.8425,0.1724137931034483,4,535.8425,Conservative
6,3,3,7,697.165,0.2,6,697.165,Conservative
7,3,4,7,494.69714285714286,0.20833333333333334,7,494.69714285714286,Conservative
3,2,1,7,695.59,0.2564102564102564,3,695.59,Conservative
8,6,2,7,240.77,0.1956521739130435,8,240.77,Conservative
3,2,1,6,389.1933333333333,0.21951219512195122,3,389.1933333333333,Conservative
8,6,2,6,674.27,0.2222222222222222,8,674.27,Conservative
3,2,1,6,475.94666666666666,0.22727272727272727,3,475.94666666666666,Conservative
8,2,6,5,640.495,0.36363636363636365,8,640.495,Conservative
4,3,1,6,842.795,0.2857142857142857,4,842.795,Conservative
3,1,2,7,183.07666666666665,0.23255813953488372,3,183.07666666666665,Conservative
7,5,2,6,406.0885714285714,0.25,7,406.0885714285714,Conservative
8,1,7,5,388.53125,0.2962962962962963,8,388.53125,Conservative
6,4,2,5,344.98,0.2727272727272727,6,344.98,Conservative
3,2,1,6,437.7966666666667,0.3125,3,437.7966666666667,Conservative
7,3,4,6,608.7557142857142,0.25,7,608.7557142857142,Conservative
6,3,3,7,666.5166666666667,0.3,6,666.5166666666667,Conservative
5,2,3,7,1073.75,0.2,5,1073.75,Conservative
3,2,1,6,301.1333333333333,0.24390243902439024,3,301.1333333333333,Conservative
6,4,2,6,389.645,0.20512820512820512,6,389.645,Conservative
6,2,4,7,424.36833333333334,0.16071428571428573,6,424.36833333333334,Conservative
7,3,4,7,832.0714285714286,0.18867924528301888,7,832.0714285714286,Conservative
5,2,3,7,925.618,0.23255813953488372,5,925.618,Conservative
7,2,5,7,367.37285714285713,0.1875,7,367.37285714285713,Conservative
7,4,3,7,186.14285714285714,0.21739130434782608,7,186.14285714285714,Conservative
7,2,5,6,349.6171428571429,0.3333333333333333,7,349.6171428571429,Conservative
6,1,5,5,353.3666666666667,0.2857142857142857,6,353.3666666666667,Conservative
4,4,0,5,946.94,0.3125,4,946.94,Conservative
6,3,3,6,420.985,0.3125,6,420.985,Conservative
8,6,2,6,794.01625,0.24324324324324326,8,794.01625,Conservative
3,2,1,5,375.6333333333333,0.24242424242424243,3,375.6333333333333,Conservative
16,8,8,5,2059.0125,0.30357142857142855,16,2059.0125,Balanced
16,8,8,5,1242.980625,0.28,16,1242.980625,Balanced
13,8,5,3,2473.126923076923,0.5,13,2473.126923076923,Balanced
14,3,11,5,969.7535714285714,0.35294117647058826,14,969.7535714285714,Balanced
10,7,3,4,1264.991,0.34210526315789475,10,1264.991,Balanced
19,6,13,3,2024.941052631579,0.42857142857142855,19,2024.941052631579,Balanced
13,5,8,5,1693.843076923077,0.25925925925925924,13,1693.843076923077,Balanced
19,8,11,5,1168.0878947368421,0.25925925925925924,19,1168.0878947368421,Balanced
21,12,9,4,737.2057142857143,0.34782608695652173,21,737.2057142857143,Balanced
13,6,7,4,588.343076923077,0.3488372093023256,13,588.343076923077,Balanced
22,12,10,3,984.0436363636363,0.5,22,984.0436363636363,Balanced
11,6,5,4,1996.3372727272726,0.36363636363636365,11,1996.3372727272726,Balanced
16,8,8,5,1100.6575,0.28205128205128205,16,1100.6575,Balanced
14,6,8,3,1450.1771428571428,0.4473684210526316,14,1450.1771428571428,Balanced
12,5,7,5,952.7733333333333,0.23636363636363636,12,952.7733333333333,Balanced
13,8,5,5,1949.64,0.3018867924528302,13,1949.64,Balanced
22,13,9,4,931.0454545454545,0.3870967741935484,22,931.0454545454545,Balanced
15,5,10,4,664.1206666666667,0.3409090909090909,15,664.1206666666667,Balanced
10,3,7,4,1169.222,0.32608695652173914,10,1169.222,Balanced
16,7,9,5,1740.8025,0.27450980392156865,16,1740.8025,Balanced
16,9,7,4,1938.3075,0.32558139534883723,16,1938.3075,Balanced
15,9,6,4,994.006,0.42105263157894735,15,994.006,Balanced
11,4,7,5,1247.1872727272728,0.2571428571428571,11,1247.1872727272728,Balanced
12,4,8,5,1290.8808333333334,0.3673469387755102,12,1290.8808333333334,Balanced
20,8,12,4,1075.274,0.3050847457627119,20,1075.274,Balanced
16,9,7,4,1865.56625,0.4146341463414634,16,1865.56625,Balanced
17,10,7,5,1031.5947058823529,0.35294117647058826,17,1031.5947058823529,Balanced
10,4,6,3,1407.338,0.45714285714285713,10,1407.338,Balanced
10,5,5,3,1449.186,0.4857142857142857,10,1449.186,Balanced
19,8,11,4,1189.4494736842105,0.30357142857142855,19,1189.4494736842105,Balanced
20,10,10,5,529.9085,0.24615384615384617,20,529.9085,Balanced
16,9,7,5,2166.78375,0.2903225806451613,16,2166.78375,Balanced
19,10,9,5,1118.6594736842105,0.32558139534883723,19,1118.6594736842105,Balanced
18,9,9,5,1288.0422222222223,0.23529411764705882,18,1288.0422222222223,Balanced
18,10,8,3,1175.733888888889,0.4782608695652174,18,1175.733888888889,Balanced
11,5,6,5,2615.9754545454543,0.3103448275862069,11,2615.9754545454543,Balanced
16,7,9,5,851.894375,0.3409090909090909,16,851.894375,Balanced
21,11,10,4,1049.0066666666667,0.32727272727272727,21,1049.0066666666667,Balanced
18,12,6,5,1256.2788888888888,0.2711864406779661,18,1256.2788888888888,Balanced
15,7,8,3,1994.628,0.5833333333333334,15,1994.628,Balanced
12,6,6,4,1134.1858333333332,0.38095238095238093,12,1134.1858333333332,Balanced
21,12,9,3,2284.5133333333333,0.4074074074074074,21,2284.5133333333333,Balanced
18,12,6,4,770.76,0.45161290322580644,18,770.76,Balanced
21,15,6,3,748.9566666666667,0.45161290322580644,21,748.9566666666667,Balanced
17,11,6,3,2157.2417647058824,0.391304347826087,17,2157.2417647058824,Balanced
21,11,10,4,1507.7357142857143,0.35555555555555557,21,1507.7357142857143,Balanced
19,10,9,4,1419.9194736842105,0.40540540540540543,19,1419.9194736842105,Balanced
15,7,8,5,1391.44,0.2857142857142857,15,1391.44,Balanced
14,7,7,4,830.3757142857143,0.3137254901960784,14,830.3757142857143,Balanced
13,9,4,3,676.5553846153846,0.45161290322580644,13,676.5553846153846,Balanced
58,28,30,2,5633.996551724138,0.6901408450704225,58,5633.996551724138,Aggressive
58,25,33,1,1698.3693103448277,1.0,58,1698.3693103448277,Aggressive
51,25,26,2,4025.679607843137,0.5104166666666666,51,4025.679607843137,Aggressive
43,22,21,1,426.96906976744185,1.0,43,426.96906976744185,Aggressive
42,24,18,1,1507.0904761904762,1.0,42,1507.0904761904762,Aggressive
31,15,16,3,3572.9548387096775,0.5,31,3572.9548387096775,Aggressive
54,24,30,3,3176.88,0.37755102040816324,54,3176.88,Aggressive
37,19,18,1,2782.6094594594597,1.0,37,2782.6094594594597,Aggressive
61,35,26,1,863.9052459016393,1.0,61,863.9052459016393,Aggressive
34,16,18,3,4246.502058823529,0.3968253968253968,34,4246.502058823529,Aggressive
38,19,19,1,957.9236842105263,1.0,38,957.9236842105263,Aggressive
45,24,21,1,6862.569111111111,1.0,45,6862.569111111111,Aggressive
44,18,26,3,5161.100227272727,0.42045454545454547,44,5161.100227272727,Aggressive
48,20,28,2,1155.1933333333334,0.5116279069767442,48,1155.1933333333334,Aggressive
38,18,20,1,1430.3892105263158,1.0,38,1430.3892105263158,Aggressive
54,27,27,3,4765.1151851851855,0.4473684210526316,54,4765.1151851851855,Aggressive
43,22,21,2,1959.1706976744185,0.55,43,1959.1706976744185,Aggressive
63,30,33,3,4918.336984126984,0.4491525423728814,63,4918.336984126984,Aggressive
34,13,21,1,6690.896176470588,1.0,34,6690.896176470588,Aggressive
64,32,32,2,6135.7290625,0.7083333333333334,64,6135.7290625,Aggressive
40,15,25,2,987.6975,0.6049382716049383,40,987.6975,Aggressive
48,25,23,3,3242.0760416666667,0.3883495145631068,48,3242.0760416666667,Aggressive
53,27,26,2,2497.7035849056606,0.7333333333333333,53,2497.7035849056606,Aggressive
64,36,28,2,1496.345,0.5102040816326531,64,1496.345,Aggressive
31,17,14,1,1359.45,1.0,31,1359.45,Aggressive
50,25,25,1,11194.8352,1.0,50,11194.8352,Aggressive
32,16,16,3,7658.5365625,0.38562091503267976,32,7658.5365625,Aggressive
34,11,23,3,6005.315588235294,0.3893805309734513,34,6005.315588235294,Aggressive
40,19,21,2,2471.36925,0.54,40,2471.36925,Aggressive
52,24,28,3,4919.160769230769,0.44339622641509435,52,4919.160769230769,Aggressive
43,16,27,1,1463.7297674418605,1.0,43,1463.7297674418605,Aggressive
44,26,18,1,6497.677727272728,1.0,44,6497.677727272728,Aggressive
53,33,20,3,2776.166037735849,0.4444444444444444,53,2776.166037735849,Aggressive
49,27,22,3,3223.6351020408165,0.3443708609271523,49,3223.6351020408165,Aggressive
56,31,25,3,1936.885,0.5,56,1936.885,Aggressive
58,28,30,2,5758.052068965517,0.5053763440860215,58,5758.052068965517,Aggressive
53,27,26,3,3901.738113207547,0.3787878787878788,53,3901.738113207547,Aggressive
32,10,22,2,3359.5915625,0.5,32,3359.5915625,Aggressive
36,20,16,2,1782.8044444444445,0.6190476190476191,36,1782.8044444444445,Aggressive
60,31,29,2,4298.479833333334,0.5238095238095238,60,4298.479833333334,Aggressive
46,25,21,3,3097.4508695652175,0.3393939393939394,46,3097.4508695652175,Aggressive
35,17,18,3,7063.594,0.4051724137931034,35,7063.594,Aggressive
44,20,24,3,1407.0379545454546,0.5111111111111111,44,1407.0379545454546,Aggressive
64,32,32,3,1600.7046875,0.5393258426966292,64,1600.7046875,Aggressive
40,20,20,1,1162.66425,1.0,40,1162.66425,Aggressive
53,22,31,1,1464.3501886792453,1.0,53,1464.3501886792453,Aggressive
32,15,17,3,5912.734375,0.4368932038834951,32,5912.734375,Aggressive
49,20,29,3,1934.3508163265305,0.35185185185185186,49,1934.3508163265305,Aggressive
63,32,31,1,6110.060476190476,1.0,63,6110.060476190476,Aggressive
56,26,30,3,5406.57625,0.40404040404040403,56,5406.57625,Aggressive
72,30,42,1,4187.841111111111,1.0,72,4187.841111111111,Anomalous
75,38,37,1,5937.919333333333,1.0,75,5937.919333333333,Anomalous
52,25,27,1,4960.536923076923,1.0,52,4960.536923076923,Anomalous
50,24,26,1,5707.7338,1.0,50,5707.7338,Anomalous
67,32,35,1,1214.3497014925374,1.0,67,1214.3497014925374,Anomalous
66,38,28,1,4564.297272727273,1.0,66,4564.297272727273,Anomalous
91,47,44,1,1198.3248351648351,1.0,91,1198.3248351648351,Anomalous
65,36,29,1,16039.852,1.0,65,16039.852,Anomalous
59,36,23,1,3889.827118644068,1.0,59,3889.827118644068,Anomalous
47,26,21,1,13338.00170212766,1.0,47,13338.00170212766,Anomalous
47,22,25,1,9506.385957446808,1.0,47,9506.385957446808,Anomalous
81,35,46,1,1142.5903703703705,1.0,81,1142.5903703703705,Anomalous
83,39,44,1,4856.997590361446,1.0,83,4856.997590361446,Anomalous
77,38,39,1,13142.887532467532,1.0,77,13142.887532467532,Anomalous
60,32,28,1,1308.7393333333334,1.0,60,1308.7393333333334,Anomalous
49,27,22,1,5642.850612244898,1.0,49,5642.850612244898,Anomalous
81,43,38,1,1815.6233333333332,1.0,81,1815.6233333333332,Anomalous
75,36,39,1,23303.65426666667,1.0,75,23303.65426666667,Anomalous
69,35,34,1,6172.1359420289855,1.0,69,6172.1359420289855,Anomalous
64,29,35,1,3578.08984375,1.0,64,3578.08984375,Anomalous
69,30,39,1,5531.173623188406,1.0,69,5531.173623188406,Anomalous
71,37,34,1,5077.86352112676,1.0,71,5077.86352112676,Anomalous
80,36,44,1,14562.063875,1.0,80,14562.063875,Anomalous
46,25,21,1,13794.205652173912,1.0,46,13794.205652173912,Anomalous
91,48,43,1,12232.807362637363,1.0,91,12232.807362637363,Anomalous
53,27,26,1,16835.801698113206,1.0,53,16835.801698113206,Anomalous
77,39,38,1,11995.085324675325,1.0,77,11995.085324675325,Anomalous
47,24,23,1,6491.327659574468,1.0,47,6491.327659574468,Anomalous
46,23,23,1,5855.851304347826,1.0,46,5855.851304347826,Anomalous
69,29,40,1,9767.984927536232,1.0,69,9767.984927536232,Anomalous
55,29,26,1,12715.523272727272,1.0,55,12715.523272727272,Anomalous
61,30,31,1,10401.646229508196,1.0,61,10401.646229508196,Anomalous
75,48,27,1,5161.693466666667,1.0,75,5161.693466666667,Anomalous
68,31,37,1,3026.6782352941177,1.0,68,3026.6782352941177,Anomalous
91,43,48,1,5215.9281318681315,1.0,91,5215.9281318681315,Anomalous
86,44,42,1,975.8161627906977,1.0,86,975.8161627906977,Anomalous
56,34,22,1,10594.456785714287,1.0,56,10594.456785714287,Anomalous
69,33,36,1,10356.664057971015,1.0,69,10356.664057971015,Anomalous
52,28,24,1,4860.424230769231,1.0,52,4860.424230769231,Anomalous
88,42,46,1,5196.699886363636,1.0,88,5196.699886363636,Anomalous
48,22,26,1,3607.8872916666664,1.0,48,3607.8872916666664,Anomalous
60,31,29,1,12856.318166666666,1.0,60,12856.318166666666,Anomalous
65,30,35,1,1473.6536923076924,1.0,65,1473.6536923076924,Anomalous
64,32,32,1,10391.64359375,1.0,64,10391.64359375,Anomalous
77,43,34,1,11938.851948051948,1.0,77,11938.851948051948,Anomalous
49,19,30,1,5374.410408163265,1.0,49,5374.410408163265,Anomalous
62,27,35,1,6889.622580645161,1.0,62,6889.622580645161,Anomalous
69,40,29,1,1223.813188405797,1.0,69,1223.813188405797,Anomalous
86,40,46,1,4929.9738372093025,1.0,86,4929.9738372093025,Anomalous
74,31,43,1,2990.7,1.0,74,2990.7,Anomalous
6,4,2,5,904.1833333333333,0.30303030303030304,6,904.1833333333333,Conservative
6,2,4,6,502.75166666666667,0.2222222222222222,6,502.75166666666667,Conservative
3,1,2,7,787.6,0.20512820512820512,3,787.6,Conservative
3,1,2,6,277.4533333333333,0.2222222222222222,3,277.4533333333333,Conservative
5,1,4,7,717.382,0.25,5,717.382,Conservative
6,6,0,5,192.21333333333334,0.2903225806451613,6,192.21333333333334,Conservative
5,1,4,5,333.232,0.30303030303030304,5,333.232,Conservative
5,2,3,6,587.67,0.2857142857142857,5,587.67,Conservative
6,4,2,7,546.4483333333334,0.2631578947368421,6,546.4483333333334,Conservative
4,1,3,5,654.89,0.3333333333333333,4,654.89,Conservative
7,3,4,5,555.0971428571429,0.3125,7,555.0971428571429,Conservative
3,2,1,7,498.4166666666667,0.21951219512195122,3,498.4166666666667,Conservative
8,5,3,6,377.54,0.225,8,377.54,Conservative
8,6,2,6,417.82125,0.3,8,417.82125,Conservative
8,7,1,7,480.7875,0.2702702702702703,8,480.7875,Conservative
6,6,0,5,255.21333333333334,0.4,6,255.21333333333334,Conservative
3,2,1,6,507.36333333333334,0.25,3,507.36333333333334,Conservative
4,2,2,7,350.0725,0.25,4,350.0725,Conservative
5,2,3,7,221.824,0.24390243902439024,5,221.824,Conservative
3,1,2,5,638.7366666666667,0.35,3,638.7366666666667,Conservative
5,2,3,6,1427.078,0.24242424242424243,5,1427.078,Conservative
6,5,1,7,691.2483333333333,0.2564102564102564,6,691.2483333333333,Conservative
7,4,3,7,728.2928571428571,0.21739130434782608,7,728.2928571428571,Conservative
5,4,1,7,995.21,0.23255813953488372,5,995.21,Conservative
3,2,1,6,318.50666666666666,0.20833333333333334,3,318.50666666666666,Conservative
8,2,6,6,403.3625,0.23684210526315788,8,403.3625,Conservative
7,4,3,6,288.93142857142857,0.2647058823529412,7,288.93142857142857,Conservative
3,2,1,5,759.77,0.3333333333333333,3,759.77,Conservative
3,1,2,5,346.4533333333333,0.25,3,346.4533333333333,Conservative
8,3,5,7,1170.065,0.225,8,1170.065,Conservative
3,0,3,7,616.04,0.24390243902439024,3,616.04,Conservative
7,3,4,5,516.91,0.3333333333333333,7,516.91,Conservative
4,4,0,5,930.35,0.25925925925925924,4,930.35,Conservative
3,1,2,6,380.99333333333334,0.22727272727272727,3,380.99333333333334,Conservative
8,5,3,6,579.29625,0.25,8,579.29625,Conservative
7,5,2,5,487.56857142857143,0.23076923076923078,7,487.56857142857143,Conservative
7,3,4,7,351.9014285714286,0.2647058823529412,7,351.9014285714286,Conservative
7,4,3,5,665.7,0.23255813953488372,7,665.7,Conservative
6,5,1,6,416.04333333333335,0.23076923076923078,6,416.04333333333335,Conservative
5,3,2,6,461.274,0.21951219512195122,5,461.274,Conservative
6,4,2,6,662.0466666666666,0.225,6,662.0466666666666,Conservative
7,4,3,7,612.9214285714286,0.22857142857142856,7,612.9214285714286,Conservative
3,0,3,7,459.83,0.2702702702702703,3,459.83,Conservative
7,4,3,5,154.3,0.24324324324324326,7,154.3,Conservative
4,2,2,5,764.6175,0.2777777777777778,4,764.6175,Conservative
5,3,2,5,239.926,0.29411764705882354,5,239.926,Conservative
6,5,1,5,1274.4716666666666,0.2903225806451613,6,1274.4716666666666,Conservative
3,0,3,6,442.16333333333336,0.25,3,442.16333333333336,Conservative
7,4,3,5,501.66,0.25,7,501.66,Conservative
4,3,1,6,1236.415,0.2571428571428571,4,1236.415,Conservative
6,2,4,5,766.425,0.30303030303030304,6,766.425,Conservative
5,2,3,7,992.932,0.23076923076923078,5,992.932,Conservative
